ChCode,       Amount OB       ,        Principal Amount Due        
01PNFL2607-3," 638,940.84 "," 34,478.13 "
01PNFL2607-30," 326,251.61 "," 10,696.62 "
01PNFL2607-31," 820,410.96 "," 36,306.90 "
01PNFL2607-33," 889,103.91 "," 39,315.23 "
01PNFL2607-34," 265,199.25 "," 8,282.52 "
01PNFL2607-39," 2,034,803.55 "," 99,409.55 "
01PNFL2607-4," 209,565.20 "," 9,074.19 "
01PNFL2607-41," 1,158,863.00 "," 41,164.29 "
01PNFL2607-42," 293,185.36 "," 11,402.86 "
01PNFL2607-47," 1,387,702.01 "," 53,308.85 "
01PNFL2607-5," 233,847.57 "," 11,764.26 "
01PNFL2607-50," 1,790,559.21 "," 57,273.36 "
01PNFL2607-51," 64,497.70 "," 19,638.43 "
01PNFL2607-52," 864,263.52 "," 32,876.45 "
01PNFL2607-53," 391,826.30 "," 13,685.93 "
01PNFL2607-54," 416,064.74 "," 12,077.75 "
01PNFL2607-55," 342,163.86 "," 17,052.38 "
01PNFL2607-56," 298,818.23 "," 43,158.95 "
01PNTL2606-1," 1,125,772.93 "," 36,689.65 "
01PNTL2606-2," 559,865.07 "," 21,059.33 "
01PNTL2606-4," 412,090.05 "," 27,016.76 "
01PNTL2607-1," 3,042,285.69 "," 123,461.98 "
01POFL2606-10," 415,370.85 "," 11,307.16 "
01POFL2606-100," 385,066.62 "," 11,000.96 "
01POFL2606-101," 1,106,217.70 "," 55,494.64 "
01POFL2606-102," 861,343.88 "," 49,028.41 "
01POFL2606-105," 514,035.71 "," 19,432.25 "
01POFL2606-11," 413,589.82 "," 12,086.92 "
01POFL2606-14," 490,488.36 "," 17,975.34 "
01POFL2606-16," 1,571,400.48 "," 48,874.16 "
01POFL2606-19," 435,181.13 "," 15,782.31 "
01POFL2606-2," 785,775.73 "," 37,167.29 "
01POFL2606-21," 1,562,255.20 "," 55,950.08 "
01POFL2606-22," 381,603.03 "," 10,636.08 "
01POFL2606-27," 799,913.18 "," 27,830.33 "
01POFL2606-30," 712,395.58 "," 25,373.92 "
01POFL2606-31," 865,627.00 "," 31,237.51 "
01POFL2606-33," 1,082,204.71 "," 37,027.23 "
01POFL2606-39," 416,777.56 "," 11,928.42 "
01POFL2606-45," 2,979,249.86 "," 106,386.55 "
01POFL2606-46," 1,497,174.98 "," 53,274.60 "
01POFL2606-5," 410,328.65 "," 16,277.62 "
01POFL2606-55," 774,765.17 "," 27,464.14 "
01POFL2606-56," 143,049.18 "," 19,659.84 "
01POFL2606-57," 256,611.88 "," 24,933.43 "
01POFL2606-59," 413,690.44 "," 12,110.25 "
01POFL2606-60," 397,175.67 "," 14,315.80 "
01POFL2606-61," 807,315.58 "," 24,433.30 "
01POFL2606-65," 561,208.70 "," 22,030.04 "
01POFL2606-66," 362,698.82 "," 15,936.44 "
01POFL2606-68," 376,998.35 "," 12,290.54 "
01POFL2606-69," 1,007,802.97 "," 37,452.39 "
01POFL2606-75," 5,566,915.43 "," 198,313.85 "
01POFL2606-76," 988,791.20 "," 30,707.35 "
01POFL2606-77," 1,272,952.78 "," 58,305.55 "
01POFL2606-80," 1,115,925.08 "," 41,745.62 "
01POFL2606-81," 717,862.23 "," 29,667.77 "
01POFL2606-83," 1,279,158.71 "," 52,421.44 "
01POFL2606-85," 1,172,448.69 "," 55,934.08 "
01POFL2606-86," 390,887.41 "," 10,279.67 "
01POFL2606-92," 904,696.18 "," 29,299.27 "
01POFL2606-94," 366,806.57 "," 12,646.96 "
01POFL2606-95," 575,346.67 "," 22,554.73 "
01POFL2606-97," 1,689,978.35 "," 57,612.28 "
01POFL2606-98," 727,797.15 "," 21,651.17 "
01POFL2607-1," 367,624.25 "," 11,762.33 "
01POFL2607-10," 904,456.31 "," 51,454.34 "
01POFL2607-100," 493,232.46 "," 16,917.93 "
01POFL2607-104," 1,012,672.57 "," 36,194.05 "
01POFL2607-105," 425,939.98 "," 13,357.21 "
01POFL2607-106," 608,546.60 "," 21,031.90 "
01POFL2607-108," 348,887.55 "," 38,156.88 "
01POFL2607-111," 613,743.85 "," 25,087.96 "
01POFL2607-113," 1,200,647.45 "," 51,185.75 "
01POFL2607-117," 716,409.72 "," 34,417.62 "
01POFL2607-12," 517,676.40 "," 35,829.32 "
01POFL2607-121," 1,553,444.39 "," 59,163.73 "
01POFL2607-123," 844,011.18 "," 30,310.01 "
01POFL2607-125," 674,984.23 "," 24,180.89 "
01POFL2607-128," 762,674.27 "," 22,015.49 "
01POFL2607-13," 1,118,345.17 "," 39,717.94 "
01POFL2607-131," 633,560.03 "," 23,925.01 "
01POFL2607-14," 979,988.12 "," 37,309.63 "
01POFL2607-141," 3,224,252.61 "," 94,531.24 "
01POFL2607-145," 773,482.87 "," 32,392.21 "
01POFL2607-147," 662,039.89 "," 20,644.35 "
01POFL2607-15," 388,279.17 "," 13,846.64 "
01POFL2607-150," 870,024.57 "," 33,642.58 "
01POFL2607-16," 384,329.61 "," 12,806.18 "
01POFL2607-18," 525,758.97 "," 22,694.34 "
01POFL2607-19," 411,691.37 "," 12,018.96 "
01POFL2607-2," 376,788.52 "," 12,901.40 "
01POFL2607-22," 488,568.43 "," 13,948.75 "
01POFL2607-27," 419,350.49 "," 11,795.35 "
01POFL2607-29," 682,006.85 "," 31,559.56 "
01POFL2607-30," 1,381,065.16 "," 43,835.11 "
01POFL2607-31," 1,472,833.73 "," 53,276.68 "
01POFL2607-33," 777,385.68 "," 27,717.66 "
01POFL2607-37," 640,875.89 "," 30,396.93 "
01POFL2607-41," 769,648.86 "," 33,111.31 "
01POFL2607-44," 411,056.61 "," 21,816.15 "
01POFL2607-45," 1,141,629.34 "," 34,575.23 "
01POFL2607-46," 334,880.78 "," 13,825.16 "
01POFL2607-50," 1,256,868.19 "," 37,088.99 "
01POFL2607-54," 1,257,062.61 "," 37,494.59 "
01POFL2607-55," 376,842.64 "," 10,343.39 "
01POFL2607-58," 541,670.86 "," 15,680.66 "
01POFL2607-61," 782,477.35 "," 27,021.14 "
01POFL2607-65," 512,577.59 "," 64,398.97 "
01POFL2607-66," 1,083,644.09 "," 39,009.93 "
01POFL2607-68," 472,613.19 "," 24,148.38 "
01POFL2607-72," 387,455.01 "," 13,610.46 "
01POFL2607-73," 371,381.34 "," 13,923.14 "
01POFL2607-74," 848,252.67 "," 27,535.56 "
01POFL2607-75," 336,627.58 "," 24,409.38 "
01POFL2607-76," 341,899.11 "," 13,656.33 "
01POFL2607-77," 326,484.45 "," 11,123.56 "
01POFL2607-82," 1,029,198.54 "," 46,088.45 "
01POFL2607-83," 478,111.12 "," 17,755.26 "
01POFL2607-84," 932,439.43 "," 29,071.40 "
01POFL2607-86," 2,879,388.67 "," 103,642.91 "
01POFL2607-88," 412,037.14 "," 14,058.44 "
01POFL2607-89," 361,521.97 "," 14,641.99 "
01POFL2607-9," 975,094.19 "," 35,174.71 "
01POFL2607-90," 646,495.93 "," 24,492.13 "
01POFL2607-91," 1,090,131.69 "," 33,586.64 "
01POFL2607-93," 1,071,033.17 "," 40,208.57 "
01POFL2607-96," 589,010.58 "," 48,480.72 "
01POFL2607-99," 632,264.34 "," 20,268.96 "
01PORL2606-11," 1,655,338.58 "," 45,351.31 "
01PORL2606-12," 1,108,249.79 "," 42,470.55 "
01PORL2606-3," 921,196.20 "," 27,802.04 "
01PORL2606-4," 302,382.17 "," 12,834.85 "
01PORL2606-5," 1,198,119.42 "," 34,771.73 "
01PORL2606-7," 312,370.65 "," 16,102.92 "
01PORL2606-8," 2,186,760.56 "," 76,845.56 "
01PORL2606-9," 91,033.41 "," 8,543.88 "
01PORL2607-1," 124,443.90 "," 15,306.31 "
01PORL2607-3," 636,774.38 "," 21,327.23 "
01PORL2607-4," 523,927.76 "," 13,985.31 "
01PORL2607-5," 267,568.61 "," 17,875.97 "
01PORL2607-6," 1,009,938.11 "," 35,660.62 "
01POTL2606-1," 435,681.85 "," 14,684.33 "
01POTL2606-2," 2,118,776.26 "," 101,666.25 "
01POTL2606-3," 534,434.02 "," 23,854.97 "
01POTL2606-4," 690,717.53 "," 45,079.10 "
01POTL2606-5," 1,953,108.05 "," 61,254.66 "
01POTL2606-6," 2,333,082.87 "," 75,544.16 "
01POTL2606-7," 133,536.01 "," 8,509.76 "
01POTL2607-2," 1,279,637.88 "," 46,748.06 "
01POTL2607-3," 1,571,429.31 "," 45,342.74 "
01POTL2607-4," 1,391,721.17 "," 41,673.77 "
01PPRL2606-1," 348,881.44 "," 22,082.25 "
01PPRL2606-10," 1,934,625.91 "," 65,031.22 "
01PPRL2606-6," 832,263.98 "," 23,799.42 "
01PPRL2606-8," 1,444,962.28 "," 50,477.92 "
01PPRL2607-1," 1,436,606.44 "," 58,080.69 "
01PPRL2607-2," 789,809.52 "," 23,892.34 "
01PPRL2607-3," 4,222,617.54 "," 176,544.70 "
01PPRL2607-4," 1,868,993.80 "," 57,097.18 "
01PPRL2607-5," 1,039,947.93 "," 44,941.71 "
01PPRL2607-6," 862,663.79 "," 26,561.02 "
01PPRL2607-7," 683,558.98 "," 22,650.77 "
01PRFL2606-100," 811,554.39 "," 23,435.80 "
01PRFL2606-101," 537,371.94 "," 16,643.51 "
01PRFL2606-102," 573,803.76 "," 16,719.13 "
01PRFL2606-103," 414,594.28 "," 14,173.17 "
01PRFL2606-104," 376,934.42 "," 11,736.35 "
01PRFL2606-108," 790,965.47 "," 27,633.01 "
01PRFL2606-111," 1,291,808.17 "," 47,473.19 "
01PRFL2606-112," 1,984,603.54 "," 59,862.07 "
01PRFL2606-117," 576,707.27 "," 16,525.57 "
01PRFL2606-118," 927,557.56 "," 26,525.85 "
01PRFL2606-123," 405,717.69 "," 12,429.38 "
01PRFL2606-124," 662,294.62 "," 32,098.63 "
01PRFL2606-128," 1,496,984.60 "," 61,692.06 "
01PRFL2606-133," 1,696,922.69 "," 57,768.30 "
01PRFL2606-136," 412,337.84 "," 20,866.58 "
01PRFL2606-140," 772,953.04 "," 26,618.22 "
01PRFL2606-141," 708,876.10 "," 35,116.31 "
01PRFL2606-143," 1,070,769.75 "," 36,311.15 "
01PRFL2606-148," 540,314.50 "," 32,589.80 "
01PRFL2606-149," 1,521,553.50 "," 48,347.04 "
01PRFL2606-150," 196,604.42 "," 7,570.25 "
01PRFL2606-151," 755,215.36 "," 30,037.83 "
01PRFL2606-152," 674,580.93 "," 24,425.87 "
01PRFL2606-154," 1,487,999.53 "," 41,567.20 "
01PRFL2606-156," 903,475.84 "," 34,308.25 "
01PRFL2606-16," 311,649.00 "," 22,973.16 "
01PRFL2606-160," 1,983,948.02 "," 67,089.66 "
01PRFL2606-167," 548,735.92 "," 15,516.66 "
01PRFL2606-169," 428,387.47 "," 16,056.74 "
01PRFL2606-22," 1,616,974.44 "," 57,972.17 "
01PRFL2606-28," 380,974.70 "," 11,742.94 "
01PRFL2606-29," 429,192.22 "," 14,942.91 "
01PRFL2606-32," 1,114,209.64 "," 33,182.82 "
01PRFL2606-36," 663,110.23 "," 35,646.47 "
01PRFL2606-38," 1,804,268.93 "," 70,730.40 "
01PRFL2606-39," 419,030.15 "," 14,823.71 "
01PRFL2606-4," 395,192.02 "," 16,132.86 "
01PRFL2606-40," 2,614,972.92 "," 110,658.84 "
01PRFL2606-45," 1,015,913.45 "," 33,666.28 "
01PRFL2606-46," 437,534.21 "," 13,083.41 "
01PRFL2606-47," 534,506.78 "," 17,155.39 "
01PRFL2606-48," 733,725.13 "," 20,015.62 "
01PRFL2606-50," 527,163.09 "," 11,020.05 "
01PRFL2606-51," 1,094,123.80 "," 32,067.80 "
01PRFL2606-58," 331,860.22 "," 23,039.90 "
01PRFL2606-65," 1,318,033.98 "," 37,043.23 "
01PRFL2606-7," 792,879.32 "," 27,851.61 "
01PRFL2606-70," 515,568.05 "," 19,077.01 "
01PRFL2606-73," 382,681.73 "," 10,803.29 "
01PRFL2606-77," 438,144.72 "," 15,070.63 "
01PRFL2606-78," 1,407,480.76 "," 60,040.03 "
01PRFL2606-8," 402,294.02 "," 9,853.68 "
01PRFL2606-84," 427,335.18 "," 12,017.76 "
01PRFL2606-86," 952,234.24 "," 42,213.76 "
01PRFL2606-87," 720,612.51 "," 82,037.07 "
01PRFL2606-89," 375,696.76 "," 13,571.96 "
01PRFL2606-95," 450,902.90 "," 16,765.29 "
01PRFL2606-96," 233,832.97 "," 7,422.05 "
01PRFL2607-1," 681,929.17 "," 20,108.96 "
01PRFL2607-101," 917,668.42 "," 29,074.54 "
01PRFL2607-102," 1,121,914.18 "," 74,560.35 "
01PRFL2607-103," 408,143.21 "," 15,230.61 "
01PRFL2607-105," 290,135.28 "," 10,947.71 "
01PRFL2607-106," 1,225,497.77 "," 49,346.42 "
01PRFL2607-108," 298,876.20 "," 8,034.77 "
01PRFL2607-110," 896,937.97 "," 34,296.50 "
01PRFL2607-115," 367,519.00 "," 10,831.16 "
01PRFL2607-116," 369,739.56 "," 11,407.73 "
01PRFL2607-118," 353,531.26 "," 13,740.08 "
01PRFL2607-12," 779,457.19 "," 32,981.05 "
01PRFL2607-120," 1,172,205.87 "," 42,579.16 "
01PRFL2607-121," 397,138.03 "," 11,583.32 "
01PRFL2607-122," 582,607.64 "," 21,006.25 "
01PRFL2607-123," 540,864.53 "," 14,927.61 "
01PRFL2607-127," 754,334.60 "," 33,728.33 "
01PRFL2607-128," 531,462.62 "," 19,929.63 "
01PRFL2607-129," 1,486,493.46 "," 62,973.23 "
01PRFL2607-132," 524,685.07 "," 24,564.74 "
01PRFL2607-135," 860,694.72 "," 28,723.54 "
01PRFL2607-136," 396,579.41 "," 10,549.09 "
01PRFL2607-137," 650,869.36 "," 24,190.46 "
01PRFL2607-138," 992,299.65 "," 48,499.51 "
01PRFL2607-139," 717,338.19 "," 21,870.44 "
01PRFL2607-140," 360,341.45 "," 11,853.57 "
01PRFL2607-142," 1,442,611.98 "," 51,071.83 "
01PRFL2607-143," 757,948.26 "," 23,992.07 "
01PRFL2607-144," 734,221.18 "," 31,722.51 "
01PRFL2607-148," 136,127.20 "," 18,966.84 "
01PRFL2607-149," 387,566.10 "," 13,622.00 "
01PRFL2607-15," 1,437,599.78 "," 42,043.55 "
01PRFL2607-150," 1,314,286.90 "," 42,298.39 "
01PRFL2607-151," 544,565.59 "," 24,511.17 "
01PRFL2607-153," 546,985.33 "," 19,641.52 "
01PRFL2607-154," 652,595.11 "," 23,603.08 "
01PRFL2607-156," 1,088,401.87 "," 40,898.96 "
01PRFL2607-157," 719,506.79 "," 31,577.12 "
01PRFL2607-158," 1,120,775.55 "," 40,542.78 "
01PRFL2607-161," 845,608.91 "," 28,510.13 "
01PRFL2607-164," 557,716.35 "," 29,179.27 "
01PRFL2607-165," 433,214.24 "," 16,342.49 "
01PRFL2607-169," 360,885.36 "," 15,066.19 "
01PRFL2607-171," 1,146,096.62 "," 34,843.89 "
01PRFL2607-174," 438,260.89 "," 14,347.02 "
01PRFL2607-177," 406,872.71 "," 14,835.81 "
01PRFL2607-179," 401,245.35 "," 13,443.38 "
01PRFL2607-18," 403,242.97 "," 14,691.20 "
01PRFL2607-181," 1,002,819.88 "," 39,720.47 "
01PRFL2607-183," 643,110.59 "," 34,274.55 "
01PRFL2607-184," 226,232.08 "," 7,458.25 "
01PRFL2607-185," 105,123.91 "," 7,978.12 "
01PRFL2607-187," 628,679.77 "," 24,441.21 "
01PRFL2607-188," 717,684.43 "," 25,276.34 "
01PRFL2607-189," 412,115.43 "," 11,048.27 "
01PRFL2607-190," 332,096.50 "," 15,401.42 "
01PRFL2607-21," 814,438.15 "," 31,330.77 "
01PRFL2607-26," 594,270.93 "," 21,945.94 "
01PRFL2607-28," 929,515.64 "," 73,300.70 "
01PRFL2607-3," 659,469.13 "," 30,393.34 "
01PRFL2607-30," 372,562.84 "," 12,611.00 "
01PRFL2607-32," 337,387.84 "," 12,277.78 "
01PRFL2607-34," 310,761.68 "," 11,355.58 "
01PRFL2607-35," 508,689.95 "," 40,672.67 "
01PRFL2607-37," 721,979.22 "," 29,556.30 "
01PRFL2607-38," 614,960.02 "," 18,068.05 "
01PRFL2607-40," 774,616.80 "," 28,936.48 "
01PRFL2607-41," 1,035,650.13 "," 38,495.66 "
01PRFL2607-42," 696,996.12 "," 34,532.96 "
01PRFL2607-43," 808,985.66 "," 33,997.95 "
01PRFL2607-44," 238,620.29 "," 26,448.79 "
01PRFL2607-47," 367,204.88 "," 12,055.72 "
01PRFL2607-48," 604,151.00 "," 19,865.10 "
01PRFL2607-52," 1,534,560.28 "," 56,070.96 "
01PRFL2607-58," 396,891.94 "," 14,834.12 "
01PRFL2607-59," 354,286.97 "," 13,008.35 "
01PRFL2607-60," 1,640,310.66 "," 77,830.46 "
01PRFL2607-61," 845,911.12 "," 29,022.20 "
01PRFL2607-62," 548,009.79 "," 20,112.06 "
01PRFL2607-64," 508,822.58 "," 18,191.33 "
01PRFL2607-68," 660,055.02 "," 21,883.62 "
01PRFL2607-69," 224,058.30 "," 22,397.18 "
01PRFL2607-70," 807,435.64 "," 41,190.55 "
01PRFL2607-71," 212,773.31 "," 16,336.62 "
01PRFL2607-74," 616,129.26 "," 18,667.25 "
01PRFL2607-78," 327,376.94 "," 10,251.34 "
01PRFL2607-8," 456,403.27 "," 21,039.14 "
01PRFL2607-80," 414,123.12 "," 14,769.10 "
01PRFL2607-81," 898,438.92 "," 32,325.50 "
01PRFL2607-82," 404,122.80 "," 15,067.40 "
01PRFL2607-83," 350,004.94 "," 16,802.36 "
01PRFL2607-84," 730,881.67 "," 29,332.71 "
01PRFL2607-85," 677,816.11 "," 40,297.99 "
01PRFL2607-9," 361,368.90 "," 13,212.51 "
01PRFL2607-90," 534,523.99 "," 18,754.93 "
01PRFL2607-91," 1,588,817.85 "," 57,634.37 "
01PRFL2607-93," 360,037.33 "," 14,132.26 "
01PRFL2607-94," 342,084.99 "," 12,568.29 "
01PRFL2607-95," 844,045.09 "," 40,120.17 "
01PRFL2607-96," 958,194.90 "," 32,043.68 "
01PRFL2607-97," 1,213,453.36 "," 36,318.83 "
01PRFL2607-99," 691,733.23 "," 24,221.63 "
01PRRL2606-11," 318,623.48 "," 10,232.04 "
01PRRL2606-12," 1,214,483.33 "," 37,909.55 "
01PRRL2606-13," 510,896.51 "," 21,728.50 "
01PRRL2606-2," 470,440.40 "," 40,771.79 "
01PRRL2606-3," 1,030,831.21 "," 29,405.08 "
01PRRL2606-5," 737,815.60 "," 23,367.16 "
01PRRL2606-6," 1,623,576.92 "," 58,382.78 "
01PRRL2606-7," 384,562.54 "," 10,328.73 "
01PRRL2606-8," 1,409,420.70 "," 47,836.28 "
01PRRL2607-1," 126,864.81 "," 12,706.18 "
01PRRL2607-10," 381,954.64 "," 12,636.49 "
01PRRL2607-2," 926,225.97 "," 35,131.76 "
01PRRL2607-3," 875,777.98 "," 24,625.92 "
01PRRL2607-5," 562,049.21 "," 20,505.63 "
01PRRL2607-6," 363,746.67 "," 18,803.60 "
01PRRL2607-7," 1,414,243.77 "," 66,991.34 "
01PRRL2607-8," 652,159.82 "," 18,637.64 "
01PRTL2606-1," 1,016,279.54 "," 30,343.22 "
01PRTL2606-2," 543,089.93 "," 25,296.82 "
01PRTL2606-3," 729,587.99 "," 23,089.75 "
01PRTL2606-5," 419,597.62 "," 13,571.75 "
01PRTL2606-7," 426,578.41 "," 14,940.82 "
01PRTL2607-1," 573,214.78 "," 19,951.97 "
01PRTL2607-2," 1,161,959.98 "," 39,793.10 "
01PRTL2607-3," 1,170,045.04 "," 42,195.77 "
01PRTL2607-4," 750,115.02 "," 23,616.84 "
01PRTL2607-5," 336,048.82 "," 13,381.08 "
01PRTL2607-6," 747,192.86 "," 33,369.77 "
01PRTL2607-7," 1,013,928.09 "," 36,472.61 "
01PSFL2606-1," 974,697.50 "," 31,691.15 "
01PSFL2606-10," 2,307,538.82 "," 88,602.22 "
01PSFL2606-13," 1,142,460.27 "," 48,914.43 "
01PSFL2606-16," 586,745.81 "," 23,072.54 "
01PSFL2606-20," 424,657.01 "," 24,988.53 "
01PSFL2606-21," 515,694.98 "," 31,538.30 "
01PSFL2606-22," 411,663.61 "," 14,340.25 "
01PSFL2606-24," 390,371.94 "," 28,027.30 "
01PSFL2606-26," 902,470.47 "," 30,185.96 "
01PSFL2606-27," 81,641.35 "," 14,290.81 "
01PSFL2606-3," 342,360.29 "," 13,498.25 "
01PSFL2606-31," 710,151.56 "," 49,943.78 "
01PSFL2606-32," 89,349.35 "," 9,199.60 "
01PSFL2606-33," 880,324.27 "," 56,380.28 "
01PSFL2606-34," 1,144,381.19 "," 57,677.08 "
01PSFL2606-35," 908,098.29 "," 37,873.76 "
01PSFL2606-39," 509,030.41 "," 17,850.91 "
01PSFL2606-45," 1,295,663.91 "," 42,190.56 "
01PSFL2606-48," 1,149,240.48 "," 34,383.56 "
01PSFL2606-51," 1,354,596.00 "," 64,265.87 "
01PSFL2606-53," 1,035,372.53 "," 34,525.37 "
01PSFL2606-8," 306,505.11 "," 30,121.16 "
01PSFL2607-1," 2,974,051.47 "," 109,746.63 "
01PSFL2607-10," 1,258,749.63 "," 48,062.46 "
01PSFL2607-100," 1,191,050.24 "," 41,082.41 "
01PSFL2607-102," 428,677.53 "," 24,716.90 "
01PSFL2607-104," 1,542,633.05 "," 48,590.61 "
01PSFL2607-105," 528,914.35 "," 23,962.80 "
01PSFL2607-106," 2,314,270.19 "," 91,838.07 "
01PSFL2607-107," 4,400,380.91 "," 163,546.20 "
01PSFL2607-108," 684,727.85 "," 30,083.66 "
01PSFL2607-11," 824,112.37 "," 27,208.17 "
01PSFL2607-110," 871,843.62 "," 31,861.61 "
01PSFL2607-111," 691,206.58 "," 41,884.55 "
01PSFL2607-113," 1,962,903.38 "," 70,817.92 "
01PSFL2607-114," 489,879.65 "," 49,220.43 "
01PSFL2607-116," 722,849.15 "," 30,260.94 "
01PSFL2607-117," 748,195.73 "," 25,939.85 "
01PSFL2607-118," 398,567.00 "," 14,518.05 "
01PSFL2607-119," 447,396.29 "," 17,292.38 "
01PSFL2607-12," 1,197,430.36 "," 45,302.59 "
01PSFL2607-120," 1,135,193.84 "," 38,564.11 "
01PSFL2607-121," 913,668.74 "," 31,490.95 "
01PSFL2607-122," 1,317,600.25 "," 49,953.69 "
01PSFL2607-123," 461,246.21 "," 24,106.32 "
01PSFL2607-124," 687,176.50 "," 31,546.53 "
01PSFL2607-126," 3,018,001.16 "," 81,636.28 "
01PSFL2607-127," 564,766.98 "," 15,401.56 "
01PSFL2607-128," 3,142,007.07 "," 109,157.56 "
01PSFL2607-129," 248,193.99 "," 29,301.94 "
01PSFL2607-13," 829,758.32 "," 28,168.17 "
01PSFL2607-130," 5,368,856.40 "," 209,963.69 "
01PSFL2607-134," 512,477.28 "," 22,970.63 "
01PSFL2607-136," 499,083.65 "," 52,648.54 "
01PSFL2607-137," 1,202,344.35 "," 50,927.74 "
01PSFL2607-138," 1,058,627.31 "," 39,088.57 "
01PSFL2607-139," 443,661.57 "," 14,473.35 "
01PSFL2607-14," 2,982,769.47 "," 96,888.08 "
01PSFL2607-141," 1,053,771.32 "," 38,687.18 "
01PSFL2607-144," 833,199.16 "," 49,095.57 "
01PSFL2607-146," 344,363.42 "," 28,369.81 "
01PSFL2607-147," 1,204,727.36 "," 47,299.11 "
01PSFL2607-148," 1,636,014.29 "," 74,470.98 "
01PSFL2607-15," 1,161,262.64 "," 58,140.74 "
01PSFL2607-151," 3,186,727.87 "," 97,653.05 "
01PSFL2607-154," 433,207.19 "," 22,078.92 "
01PSFL2607-155," 739,256.61 "," 25,218.58 "
01PSFL2607-156," 643,896.45 "," 37,436.96 "
01PSFL2607-157," 1,550,239.56 "," 113,502.21 "
01PSFL2607-159," 952,060.67 "," 37,009.02 "
01PSFL2607-16," 570,533.87 "," 26,419.98 "
01PSFL2607-160," 888,329.69 "," 30,628.06 "
01PSFL2607-161," 470,178.12 "," 19,525.70 "
01PSFL2607-163," 485,157.58 "," 22,042.60 "
01PSFL2607-164," 1,864,998.01 "," 56,497.75 "
01PSFL2607-166," 868,044.02 "," 27,701.50 "
01PSFL2607-167," 946,507.00 "," 33,631.03 "
01PSFL2607-168," 1,194,885.53 "," 47,392.47 "
01PSFL2607-169," 930,579.66 "," 38,207.42 "
01PSFL2607-17," 982,866.60 "," 38,065.86 "
01PSFL2607-170," 1,190,086.09 "," 42,536.34 "
01PSFL2607-172," 441,386.00 "," 13,982.97 "
01PSFL2607-173," 803,668.53 "," 31,556.00 "
01PSFL2607-174," 925,580.26 "," 36,138.93 "
01PSFL2607-175," 3,028,702.39 "," 83,440.67 "
01PSFL2607-176," 469,765.46 "," 17,178.02 "
01PSFL2607-177," 1,835,599.71 "," 53,946.18 "
01PSFL2607-178," 2,045,724.56 "," 72,170.12 "
01PSFL2607-179," 861,154.93 "," 24,759.86 "
01PSFL2607-180," 2,632,121.60 "," 86,517.55 "
01PSFL2607-181," 785,986.76 "," 42,572.65 "
01PSFL2607-185," 1,050,388.87 "," 31,977.30 "
01PSFL2607-186," 1,125,713.50 "," 40,391.55 "
01PSFL2607-187," 1,596,813.22 "," 46,573.75 "
01PSFL2607-188," 1,678,426.09 "," 77,510.51 "
01PSFL2607-19," 982,473.30 "," 41,545.84 "
01PSFL2607-190," 1,060,604.50 "," 49,615.43 "
01PSFL2607-191," 780,512.66 "," 24,265.58 "
01PSFL2607-192," 784,302.78 "," 26,565.91 "
01PSFL2607-193," 1,948,467.73 "," 55,963.44 "
01PSFL2607-194," 1,311,207.14 "," 37,043.96 "
01PSFL2607-195," 1,457,569.87 "," 40,338.80 "
01PSFL2607-196," 3,106,921.67 "," 89,022.97 "
01PSFL2607-197," 770,465.27 "," 28,274.51 "
01PSFL2607-199," 810,509.77 "," 33,707.57 "
01PSFL2607-2," 1,180,906.77 "," 40,996.63 "
01PSFL2607-20," 524,460.33 "," 30,091.20 "
01PSFL2607-200," 935,543.59 "," 41,755.47 "
01PSFL2607-201," 1,065,972.63 "," 38,297.77 "
01PSFL2607-204," 1,364,834.44 "," 56,559.68 "
01PSFL2607-205," 247,670.66 "," 14,247.92 "
01PSFL2607-207," 336,724.81 "," 11,904.75 "
01PSFL2607-208," 939,518.32 "," 31,515.90 "
01PSFL2607-21," 1,110,915.29 "," 42,462.49 "
01PSFL2607-212," 4,740,769.16 "," 178,308.90 "
01PSFL2607-213," 1,145,080.06 "," 55,313.39 "
01PSFL2607-216," 936,107.13 "," 28,169.56 "
01PSFL2607-218," 342,399.38 "," 29,171.93 "
01PSFL2607-219," 913,255.54 "," 32,120.57 "
01PSFL2607-22," 1,105,629.20 "," 39,799.62 "
01PSFL2607-220," 4,077,380.08 "," 121,814.00 "
01PSFL2607-221," 951,190.77 "," 39,435.30 "
01PSFL2607-222," 2,763,236.12 "," 83,402.16 "
01PSFL2607-223," 1,983,582.84 "," 61,033.37 "
01PSFL2607-224," 1,849,200.67 "," 63,761.08 "
01PSFL2607-226," 3,047,111.33 "," 81,590.96 "
01PSFL2607-227," 572,014.51 "," 30,444.37 "
01PSFL2607-229," 737,286.59 "," 33,682.39 "
01PSFL2607-23," 1,343,828.78 "," 60,360.46 "
01PSFL2607-230," 2,569,951.79 "," 91,786.77 "
01PSFL2607-231," 431,329.41 "," 26,025.53 "
01PSFL2607-232," 859,954.73 "," 31,258.30 "
01PSFL2607-233," 399,468.80 "," 12,159.88 "
01PSFL2607-234," 554,456.63 "," 26,593.32 "
01PSFL2607-236," 3,082,138.60 "," 94,200.47 "
01PSFL2607-237," 77,106.37 "," 4,380.29 "
01PSFL2607-238," 1,154,686.52 "," 35,096.89 "
01PSFL2607-24," 938,671.49 "," 29,159.04 "
01PSFL2607-240," 150,289.35 "," 19,695.89 "
01PSFL2607-242," 562,524.04 "," 15,507.36 "
